                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    147,                0.85556,                0.52894,                0.92898,                0.69508,                0.69672,                0.73197,                0.36156,                 1.7117,                 1.0419,                 1.4798,             0.00089112,             0.00089112,             0.00089112
                    148,                0.85955,                0.52735,                0.93158,                0.69121,                0.77874,                0.72443,                0.37633,                 1.6733,                0.99804,                 1.4362,             0.00088865,             0.00088865,             0.00088865
                    149,                  0.841,                0.52138,                0.92721,                0.78575,                0.75971,                0.75982,                0.40127,                 1.6519,                 0.9782,                 1.4051,             0.00088618,             0.00088618,             0.00088618
                    150,                0.88677,                0.54435,                0.94061,                0.71463,                 0.7246,                0.71302,                0.35517,                 1.6968,                0.99256,                 1.4462,              0.0008837,              0.0008837,              0.0008837
                    151,                0.87784,                0.53582,                0.93854,                0.72084,                0.62752,                 0.6526,                 0.3164,                 1.7456,                 1.0477,                 1.4675,             0.00088122,             0.00088122,             0.00088122
                    152,                0.86958,                0.53189,                0.93997,                0.65139,                 0.6799,                0.64687,                0.30608,                 1.7677,                 1.0724,                 1.4988,             0.00087875,             0.00087875,             0.00087875
                    153,                  0.876,                0.54565,                0.93756,                0.70456,                  0.701,                0.69173,                0.33435,                 1.7636,                 1.0504,                 1.4836,             0.00087628,             0.00087628,             0.00087628
                    154,                0.86033,                0.53148,                0.93787,                0.77237,                0.74465,                0.77009,                0.36519,                 1.7012,                0.93249,                 1.4497,              0.0008738,              0.0008738,              0.0008738
                    155,                0.83775,                0.51707,                0.93502,                0.77936,                0.78661,                0.75046,                0.37201,                 1.7137,                0.93526,                 1.4845,             0.00087132,             0.00087132,             0.00087132
                    156,                0.84161,                0.52326,                0.92728,                0.70708,                 0.6589,                0.69868,                0.35139,                 1.7244,                 1.0561,                  1.506,             0.00086885,             0.00086885,             0.00086885
                    157,                 0.8539,                0.53678,                 0.9354,                0.70407,                0.69512,                0.71848,                0.37109,                 1.7179,                 1.0073,                 1.5143,             0.00086637,             0.00086637,             0.00086637
                    158,                0.86534,                0.52497,                0.93753,                0.70146,                0.70633,                0.71086,                0.35649,                 1.7029,                 1.0027,                 1.4813,              0.0008639,              0.0008639,              0.0008639
                    159,                 0.8519,                0.51773,                0.92968,                0.67888,                0.78398,                0.74209,                0.37868,                 1.7537,                0.97993,                 1.4935,             0.00086142,             0.00086142,             0.00086142
                    160,                0.83603,                0.51035,                0.92687,                0.71839,                0.77181,                0.75424,                0.36454,                 1.7455,                0.98138,                 1.4615,             0.00085895,             0.00085895,             0.00085895
                    161,                0.85221,                0.53031,                0.93209,                0.74971,                0.76761,                0.76175,                0.37136,                 1.6891,                0.93506,                 1.4475,             0.00085647,             0.00085647,             0.00085647
                    162,                0.84153,                0.52258,                 0.9298,                0.70591,                0.67509,                0.67397,                0.30683,                 1.8067,                 1.0831,                 1.5531,               0.000854,               0.000854,               0.000854
                    163,                0.82634,                0.50994,                 0.9215,                0.70238,                0.67601,                0.65136,                0.29915,                 1.8162,                 1.1118,                 1.5592,             0.00085152,             0.00085152,             0.00085152
                    164,                0.85887,                0.52066,                0.93484,                0.68728,                0.72695,                0.71206,                0.35665,                 1.6733,                 1.0272,                 1.4579,             0.00084905,             0.00084905,             0.00084905
                    165,                0.84075,                0.51461,                 0.9206,                0.74612,                0.75449,                0.76335,                0.38387,                 1.6656,                  1.038,                 1.4661,             0.00084658,             0.00084658,             0.00084658
                    166,                0.84032,                0.51914,                0.93367,                0.78534,                0.70992,                0.75464,                0.38417,                 1.6387,                0.96145,                 1.4518,              0.0008441,              0.0008441,              0.0008441
                    167,                0.83556,                0.50862,                0.92757,                 0.7281,                0.78778,                0.79077,                0.37331,                 1.6727,                  1.027,                 1.4489,             0.00084162,             0.00084162,             0.00084162
                    168,                0.82657,                0.51131,                0.91785,                0.79807,                0.77805,                0.80116,                0.36789,                 1.7122,                0.96663,                 1.4723,             0.00083915,             0.00083915,             0.00083915
                    169,                 0.8579,                0.51897,                0.92954,                 0.7173,                0.77749,                0.76194,                0.37298,                 1.6923,                 1.0022,                 1.5056,             0.00083667,             0.00083667,             0.00083667
                    170,                0.84873,                0.51941,                0.92375,                0.75479,                0.70914,                0.72339,                0.35724,                 1.7049,                 1.0336,                 1.4862,              0.0008342,              0.0008342,              0.0008342
                    171,                0.83603,                0.51323,                0.92868,                0.69313,                0.66529,                0.69919,                0.35407,                 1.6402,                 1.0332,                 1.4488,             0.00083172,             0.00083172,             0.00083172
                    172,                0.83123,                0.51793,                0.92478,                0.77097,                0.68051,                0.72396,                0.34674,                 1.7418,                 1.0237,                 1.4996,             0.00082925,             0.00082925,             0.00082925
                    173,                 0.8423,                0.50442,                0.92197,                  0.739,                0.77645,                0.74509,                0.36465,                 1.7029,                0.96795,                 1.4479,             0.00082677,             0.00082677,             0.00082677
                    174,                0.83892,                0.50853,                0.93143,                0.72511,                0.73708,                0.74566,                0.38978,                   1.72,                 1.0065,                 1.4886,              0.0008243,              0.0008243,              0.0008243
                    175,                0.82409,                0.50362,                0.91956,                0.77349,                0.74468,                0.73653,                0.38183,                 1.6782,                0.90219,                 1.4295,             0.00082183,             0.00082183,             0.00082183
                    176,                0.82807,                0.50261,                 0.9192,                 0.7436,                0.75975,                 0.7561,                0.38775,                 1.6579,                0.96393,                 1.4518,             0.00081935,             0.00081935,             0.00081935
                    177,                0.81752,                0.48651,                0.92046,                0.73101,                0.75128,                0.75368,                0.36984,                 1.6884,                 1.0161,                 1.4786,             0.00081688,             0.00081688,             0.00081688
                    178,                0.79629,                0.49371,                0.91463,                0.74643,                0.73819,                0.75443,                0.37884,                 1.6921,                 1.0535,                 1.4805,              0.0008144,              0.0008144,              0.0008144
                    179,                0.79893,                0.50287,                0.91429,                0.76762,                0.63304,                0.74139,                0.37112,                 1.6695,                 1.0385,                 1.4768,             0.00081193,             0.00081193,             0.00081193
