                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2724,                 0.9504,                 1.0941,                0.69549,                0.56078,                0.60906,                0.26387,                 2.0131,                 1.2695,                 1.5631,              0.0011708,              0.0011708,              0.0011708
                     35,                 1.2806,                0.95133,                 1.1036,                0.73034,                0.59852,                0.67366,                  0.282,                  2.013,                 1.2508,                 1.5578,              0.0011683,              0.0011683,              0.0011683
                     36,                 1.2802,                0.92314,                 1.0961,                0.65662,                0.62477,                0.62213,                0.26391,                 1.9819,                  1.254,                 1.4963,              0.0011658,              0.0011658,              0.0011658
                     37,                 1.2337,                0.90099,                 1.0661,                0.60388,                0.62025,                0.62083,                0.23596,                 2.1309,                 1.3489,                 1.5745,              0.0011634,              0.0011634,              0.0011634
                     38,                 1.2758,                0.89769,                 1.0904,                0.73542,                0.60576,                0.65973,                0.26417,                 2.1159,                 1.2264,                 1.6221,              0.0011609,              0.0011609,              0.0011609
                     39,                 1.2666,                0.89006,                 1.0938,                0.69461,                0.73877,                0.69336,                 0.2876,                 1.9303,                 1.1926,                 1.4886,              0.0011584,              0.0011584,              0.0011584
                     40,                 1.2568,                0.88331,                 1.0739,                0.73024,                0.52289,                0.63561,                0.26301,                 1.9312,                 1.2527,                 1.4817,              0.0011559,              0.0011559,              0.0011559
                     41,                  1.202,                0.85562,                 1.0725,                0.61755,                0.62146,                0.62713,                0.26728,                  1.972,                 1.2856,                 1.5571,              0.0011535,              0.0011535,              0.0011535
                     42,                 1.2764,                0.87576,                 1.1002,                 0.7373,                0.61332,                0.67606,                0.29381,                 1.9247,                 1.2075,                 1.5003,               0.001151,               0.001151,               0.001151
                     43,                 1.2601,                0.88735,                 1.0924,                0.62287,                0.61027,                 0.6567,                 0.2821,                 1.9357,                 1.2948,                 1.5127,              0.0011485,              0.0011485,              0.0011485
